,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
1997-09-30 12:00:00,-64.3257,-62.8802,-63.296,-63.8265,-63.2629,-64.298,-64.6458,-64.4646,-64.7549,-64.8559,-66.4992,-63.8334,-63.3188,-69.8378,-65.7885,-67.5449,-68.6655,-63.7482,-69.4017,-62.5661,-61.2619,-69.5509,-63.7873,-64.4548,-67.5268,-68.3556,-60.6582,-64.3304,-65.5121,-64.7127,-64.1024,-66.8947,-69.5015,-63.6968,-64.3598,-68.8178,-64.4642,-68.7282,-68.7956,-65.2012,-65.9453,-63.6841,-63.7504,-64.0858,-64.1371,-67.5246,-64.0259,-68.9579,-64.0379,-64.7676,-62.4824,-64.2905,-63.4689,-64.6334,-69.7291,-61.129,-68.4689,-63.821,-64.9505,-69.4238,-64.8049,-64.3126,-69.518,-64.1513,-63.827,-65.5124,-63.2809,-64.303,-62.6026,-69.7136,-70.4811,-69.8468,-65.4478,-64.3202,-65.8048,-64.9331,-65.8443,-64.1298,-69.223,-65.8178,-69.0516,-64.5947,-64.3155,-64.4059,-68.7942,-63.5819,-63.6016,-65.817,-66.3815,-64.2584,-67.5374,-63.4592,-65.5471,-69.0898,-67.7321,-68.2748,-64.2663,-64.3051,-64.2281,-64.4124,-68.6466,-68.7443,-64.6387,-69.8753,-66.9758,-65.4979,-64.6637,-66.958,-67.0103,-65.4742,-64.6985
1997-10-10 12:00:00,-63.961410320807936,-62.58864902616109,-62.98389161450997,-63.488056673755146,-62.95079161450997,-63.93440963563916,-64.28151032080793,-64.24938607790253,-64.40279918195444,-64.48463686660997,-66.13863424613719,-63.48557596162034,-63.006691614509975,-69.51618315128925,-65.41225020100731,-67.21340345401293,-68.33860011822748,-63.42030822995032,-69.08008315128926,-62.231586894932256,-60.973001823364825,-69.22928315128925,-63.47519161450997,-64.16129421153967,-67.19530345401293,-68.02870011822746,-60.385698534777,-63.95913686660997,-65.1463221118871,-64.49748607790252,-63.80889421153966,-66.53413424613719,-69.17988315128925,-63.34897596162035,-63.98853686660997,-68.49090011822749,-64.24898607790253,-68.40130011822748,-68.46870011822746,-64.8354221118871,-65.58909770886822,-63.336275961620345,-63.40257596162034,-63.792294211539655,-63.773509635639165,-67.16839295911122,-63.73239421153965,-68.63100011822748,-63.673610320807924,-64.41549918195443,-62.152438928808245,-63.91923686660997,-63.12223249848589,-64.26911032080794,-69.40748315128926,-60.84010182336483,-68.14200011822749,-63.47433249848589,-64.57923686660997,-69.10218315128925,-64.44061032080793,-63.963386107423545,-69.19638315128925,-63.85779421153966,-63.47917596162034,-65.14662211188708,-62.968791614509975,-63.93173686660997,-62.26808689493226,-69.39198315128925,-70.1897278660966,-69.52518315128926,-65.0820221118871,-63.94893686660996,-65.42855020100731,-64.56881032080794,-65.46805020100732,-63.83629421153966,-68.90138315128925,-65.44155020100732,-68.72998315128925,-64.26128489973148,-63.94423686660997,-64.05668610742353,-68.46730011822747,-63.254008229950315,-63.27370822995032,-65.4407502010073,-66.02093424613719,-63.887136866609964,-67.18119295911123,-63.1125324984859,-65.18297053822062,-68.76818315128925,-67.40060345401294,-67.94790011822748,-63.89503686660996,-63.933836866609965,-63.86450963563916,-64.04113686660997,-68.31970011822749,-68.41740011822746,-64.26743686660997,-69.55368315128925,-66.61523424613719,-65.13212211188709,-64.29941032080795,-66.59743424613718,-66.65409295911122,-65.09896621457455,-64.33421032080793
1997-10-20 12:00:00,-63.286505678194615,-62.047678581477186,-62.383280846159465,-62.85363901766317,-62.35018084615946,-63.26772653275919,-63.59666820186219,-63.847572999894574,-63.742686788633854,-63.7856258460528,-65.45850979436155,-62.83381320666223,-62.421866344940206,-68.9086906801441,-64.6993582762992,-66.58960063593946,-67.72246783911439,-62.8057813397385,-68.47259068014411,-61.60589471620567,-60.448559519344485,-68.62179068014412,-62.890366344940205,-63.611925327636406,-66.57150063593946,-67.41256783911439,-59.883117175563626,-63.27782234005051,-64.45638634195868,-64.09567299989456,-63.24267153899958,-65.85400979436156,-68.57239068014411,-62.69721320666223,-63.307222340050515,-67.8747678391144,-63.777909060362134,-67.7851678391144,-67.85256783911439,-64.1490917840205,-64.91881733119148,-62.68451320666223,-62.75081320666222,-63.22607153899958,-63.10682653275919,-66.49513781442293,-63.16617153899957,-68.01486783911439,-62.999269248446446,-63.75538678863385,-61.53397547475601,-63.23792234005052,-62.47247225845265,-63.5842682018622,-68.79999068014412,-60.31565951934449,-67.5258678391144,-62.83169066712466,-63.8802258460528,-68.4946906801441,-63.75576820186221,-63.32753709468494,-68.58889068014412,-63.29157153899958,-62.82741320666222,-64.45668634195866,-62.36818084615947,-63.25042234005051,-61.64239471620567,-68.78449068014412,-69.64018237232666,-68.91769068014412,-64.39208634195866,-63.26762234005051,-64.7156582762992,-63.87677275444873,-64.7551582762992,-63.27007153899958,-68.29053390523794,-64.7286582762992,-68.11913390523794,-63.63159843603225,-63.262922340050515,-63.41120085141637,-67.85116783911438,-62.639481339738495,-62.6591813397385,-64.7278582762992,-65.34080979436156,-63.20582234005051,-66.50793781442295,-62.46277225845265,-64.49030976898977,-68.15733390523795,-66.77680063593947,-67.32869396436857,-63.220680994700786,-63.25252234005051,-63.19782653275919,-63.342125846052795,-67.7035678391144,-67.80126783911439,-63.5684258460528,-68.94619068014411,-65.93510979436157,-64.44218634195865,-63.61456820186222,-65.91730979436154,-65.97832722030962,-64.38947760659876,-63.6493682018622
1997-10-30 12:00:00,-62.66527575135209,-61.54883963978721,-61.80627608043851,-62.2837498223448,-61.7731760804385,-62.668659464392924,-62.96550079868726,-63.38825695990435,-63.12771513001885,-63.147826565716244,-64.82487300990378,-62.23987975674603,-61.86064707799999,-68.3532564434482,-64.04112707636666,-66.00320661431351,-67.14092916968742,-62.256100188274964,-67.89748266036916,-61.06219938806709,-59.977471264574135,-68.04668266036917,-62.329147077999984,-63.083345348113745,-65.98510661431351,-66.83102916968743,-59.43000885074709,-62.65771955371168,-63.81167602038949,-63.65321074854114,-62.69723777084009,-65.2203730099038,-68.01695644344821,-62.10327975674603,-62.68711955371168,-67.29322916968745,-63.24932908083947,-67.20362916968745,-67.27102916968742,-63.500791457099695,-64.2907652183264,-62.09057975674603,-62.15687975674603,-62.68063777084009,-62.500641055720905,-65.85853101271063,-62.62073777084008,-67.43640304443326,-62.40308481918322,-63.14041513001885,-60.99833275139631,-62.61781955371168,-61.8892760396833,-62.953100798687274,-68.22488266036916,-59.853038662155676,-66.94432916968744,-62.261801471806294,-63.24242656571625,-67.9392564434482,-63.124600798687275,-62.754266854360665,-68.03345644344822,-62.74613777084009,-62.23347975674603,-63.811976020389466,-61.79117608043851,-62.63031955371168,-61.0986993880671,-68.20938266036916,-69.11025334597062,-68.36225644344822,-63.747376020389474,-62.647519553711675,-64.05742707636666,-63.23897347411218,-64.09692707636667,-62.72463777084009,-67.71206911055681,-64.07042707636667,-67.54066911055682,-63.080363650641495,-62.64281955371168,-62.84410147220619,-67.26962916968742,-62.08980018827496,-62.10950018827497,-64.06962707636667,-64.70717300990378,-62.58571955371168,-65.87133101271064,-61.87957603968331,-63.85142256260665,-67.57886911055682,-66.1904066143135,-66.74408142019577,-62.6144955176625,-62.63241955371168,-62.5916410557209,-62.70432656571624,-67.12202916968744,-67.21972916968743,-62.93062656571624,-68.37108266036915,-65.3014730099038,-63.79747602038946,-62.983400798687285,-65.28367300990377,-65.34469043585186,-63.7336337098313,-63.01820079868727
1997-11-09 12:00:00,-62.06368940029264,-61.06482493584484,-61.270633357078815,-61.74678892557217,-61.23753335707881,-62.098770269074556,-62.36391444762781,-62.84282319174487,-62.51379496333886,-62.53468243402768,-64.1968208970387,-61.65989029007056,-61.3250043546403,-67.8141392149252,-63.40375460803489,-65.38956016686114,-66.55631662551463,-61.730008125672185,-67.34148908186361,-60.55716687910764,-59.49308693396342,-67.48789164876709,-61.752142312279034,-62.53791157995426,-65.39401404039315,-66.24463514806146,-58.98395198909473,-62.06153512444846,-63.18050861721456,-63.12463076901848,-62.13601850389988,-64.59221683681389,-67.4778392149252,-61.52329029007056,-62.090935124448464,-66.70861662551465,-62.70389531267998,-66.61901662551465,-66.68641662551462,-62.862992176763136,-63.662817165686135,-61.51059029007056,-61.57689029007056,-62.11941850389987,-61.91744483695156,-65.22489422825286,-62.05951850389987,-66.85486437500631,-61.83081874699563,-62.52649496333886,-60.53542394018987,-62.02163512444846,-61.352153795982616,-62.35151444762783,-67.64641786568804,-59.382001612082654,-66.35793514806149,-61.71397174086382,-62.62232377937742,-67.40293664802174,-62.50337087184475,-62.20458570289713,-67.49433921492522,-62.18491850389987,-61.65349029007056,-63.18080861721454,-61.25553335707881,-62.03413512444846,-60.593666879107644,-67.63091786568803,-68.5667420129916,-67.8231392149252,-63.11620861721455,-62.05133512444846,-63.41424892793244,-62.618870687773345,-63.45374892793243,-62.16341850389988,-67.13053044112986,-63.43305460803491,-66.95913044112986,-62.57043680672139,-62.04663512444846,-62.323853985581735,-66.68501662551462,-61.56370812567218,-61.583408125672186,-63.426448927932434,-64.0791208970387,-61.98953512444845,-65.23769422825286,-61.342453795982614,-63.25443154351282,-66.99733044112986,-65.60223111523439,-66.15768739856982,-62.03129929889315,-62.03623512444846,-62.008444836951554,-62.10814213645302,-66.53741662551464,-66.63511662551463,-62.33444213645302,-67.79261786568803,-64.6733168368139,-63.16630861721453,-62.38181444762784,-64.65551683681386,-64.71653426276195,-63.10895189709505,-62.396970871844744
1997-11-19 12:00:00,-61.52295977408061,-60.60933553467881,-60.835134741828135,-61.25461502245697,-60.80203474182813,-61.57994765162374,-61.82318482141578,-62.31386734425734,-61.95417543772301,-61.984835938889354,-63.6185871027342,-61.147114967647234,-60.853713322896915,-67.34106905164522,-62.82992004444851,-64.81184189496183,-66.03043067050716,-61.23783422255698,-66.87121635168016,-60.343126495078224,-59.236706940677415,-67.01482148548712,-61.23948923817437,-62.00895573246673,-64.85483028631032,-65.71696771560083,-58.70878574600657,-61.527108512650244,-62.60498829536318,-62.61600350495041,-61.59127715763161,-64.01387898228457,-67.00476905164521,-61.01051496764724,-61.55650851265025,-66.18273067050718,-62.17493946519246,-66.09313067050718,-66.16053067050716,-62.304647207889296,-63.085843939510085,-60.99781496764724,-61.064114967647235,-61.574677157631605,-61.40403204790466,-64.65265656772142,-61.5147771576316,-66.32897841999885,-61.316633065327025,-61.966875437723004,-60.42553138572171,-61.48720851265025,-60.861825723735414,-61.810784821415794,-67.13021518812812,-59.13230786318288,-65.83026771560085,-61.20313805538246,-62.06397881050357,-66.93266391783828,-61.94446233271907,-61.71293903728897,-67.02126905164525,-61.640177157631605,-61.140714967647234,-62.60528829536316,-60.82003474182814,-61.499708512650244,-60.36269223715898,-67.11471518812812,-68.11973525786476,-67.35006905164522,-62.54068829536316,-61.51690851265024,-62.83460868424359,-62.0605257188995,-62.87047303488574,-61.6186771576316,-66.61125388882411,-62.85922004444852,-66.43324448612239,-62.09659638635559,-61.51220851265025,-61.845833880429986,-66.15913067050715,-61.07153422255698,-61.09946792630215,-62.84680868424359,-63.50088710273421,-61.47534944277985,-64.66545656772142,-60.85212572373542,-62.715307248278194,-66.4714444861224,-65.04998379170834,-65.6300199661092,-61.50444206202378,-61.50180851265024,-61.48158760008218,-61.5737155246548,-66.01153067050717,-66.10923067050716,-61.8000155246548,-67.27641518812811,-64.09497898228457,-62.59078829536315,-61.841084821415805,-64.07717898228454,-64.13819640823263,-62.544172339746325,-61.83659766984964
1997-11-29 12:00:00,-61.0516870897217,-60.3788202936848,-60.776441862632566,-60.79635927882934,-60.742175003173074,-61.09812107963404,-61.35191213705687,-61.87807538806952,-61.480161520898314,-61.50477287347347,-63.09132813489389,-60.70155378947606,-60.76793361124389,-66.93404595360826,-62.3269611229972,-64.28942255299097,-65.56327130466501,-60.78781218267452,-66.46372579356562,-60.42156844742861,-59.21655340176175,-66.60779838745016,-60.79118785568602,-61.496477805651146,-64.35351388295823,-65.24120910297773,-58.686559197519564,-61.050762291371015,-62.09032469835921,-62.12385416155429,-61.110887502979644,-63.485359446315826,-66.59774595360827,-60.564953789476064,-61.08016229137102,-65.71557130466505,-61.662461538376874,-65.62597130466504,-65.69337130466502,-61.80806005648045,-62.55984553979822,-60.80009727441622,-60.61855378947606,-61.09428750297964,-60.93741343031125,-64.13023722575056,-61.034387502979634,-65.86181905415671,-60.860527774177406,-61.492861520898316,-60.65674879877639,-61.01086229137101,-60.62252133799654,-61.339512137056886,-66.67627462768942,-59.11735678087319,-65.35450910297776,-60.72930041536223,-61.56739165909473,-66.52517335972372,-61.474654311229585,-61.26344423491355,-66.61424595360829,-61.15978750297965,-60.69515378947606,-62.09062469835919,-60.725276250616204,-61.023362291371015,-60.41246103708899,-66.66077462768942,-67.7692330805901,-66.94304595360826,-62.0260246983592,-61.04056229137101,-62.33164976279229,-61.56393856749066,-62.36387846407659,-61.138287502979644,-66.15070392568369,-62.35626112299722,-65.96608512028025,-61.658842389544105,-61.03586229137101,-61.39633907805457,-65.691971304665,-60.61327847892935,-60.65767959016483,-62.34384976279228,-62.97362813489389,-61.01924415163023,-64.14303722575056,-60.61336131246619,-62.234217438898945,-66.00428512028026,-64.53366464373536,-65.1542613534861,-61.024378996607894,-61.025462291371014,-61.001524534666295,-61.09736930337557,-65.54437130466502,-65.64207130466502,-61.323669303375574,-66.82247462768942,-63.56645944631582,-62.07612469835919,-61.3698121370569,-63.548659446315796,-63.60967687226389,-62.03573176429758,-61.36532498549073
1997-12-09 12:00:00,-60.60881816938781,-60.36218166463301,-61.05281228986539,-60.56022722429819,-61.050586083772814,-60.624283439613805,-60.908883245486734,-61.51016412053802,-61.0360264572639,-61.03815425588006,-62.565329735182026,-60.58029803147691,-61.04780642697964,-66.52655539549372,-61.837145619038054,-63.76090301702221,-65.0875126920419,-60.558484162211414,-66.02616710154848,-60.49459053059747,-59.19221765234545,-66.20030782933561,-60.699226132412825,-61.01608815099918,-63.83011664132379,-64.75685124357368,-58.6732943384695,-60.594657000221396,-61.59080822121152,-61.61137623473871,-60.6625861204913,-62.95619431990132,-66.19025539549372,-60.37190255724803,-60.6240570002214,-65.23981269204194,-61.21786430021761,-65.15021269204193,-65.21761269204191,-61.33171383520122,-62.044186897666414,-60.84394856762361,-60.420524201848096,-60.68177853698401,-60.69802571076221,-63.601717689781815,-60.621878536984006,-65.3860604415336,-60.66139234706277,-61.048726457263896,-60.8377958810121,-60.55475700022139,-60.60653879089695,-60.89648324548675,-66.215724664549,-59.09453973531991,-64.8701512435737,-60.488326114933784,-61.0910454378155,-66.11721534153159,-61.031625419659456,-60.82165589877624,-66.20675539549374,-60.711486120491294,-60.49009834540579,-61.5911082212115,-60.93265494437187,-60.567257000221396,-60.46525051972919,-66.200224664549,-67.4145260940527,-66.53555539549372,-61.52650822121151,-60.58445700022139,-61.84183425883314,-61.08759234621143,-61.87406296011745,-60.68998612049129,-65.68354455984155,-61.86644561903807,-65.49032650765714,-61.2338730298003,-60.57975700022139,-60.95455074191725,-65.2162126920419,-60.383332781760636,-60.43384883533307,-61.85403425883314,-62.457969492762096,-60.56313886048061,-63.61451768978181,-60.599229921662854,-61.777016170285414,-65.53712575443812,-64.0112453017645,-64.66990349408205,-60.55776037901448,-60.569357000221395,-60.534905917072884,-60.64126401222595,-65.06861269204191,-65.16631269204191,-60.867564012225955,-66.361924664549,-63.03920047847551,-61.576608221211494,-60.92678324548677,-63.021400478475485,-63.08241790442358,-61.542224251059224,-60.92229609392059
1997-12-19 12:00:00,-60.441991651037306,-60.34956523328764,-61.18455859073767,-60.549916073336334,-61.21808417013547,-60.382351591313466,-60.72905574716246,-61.326517416527345,-60.79317893420558,-60.78447622361011,-62.266362920109394,-60.74338792675932,-61.17384417733986,-66.17985590552476,-61.575311117392445,-63.29924633154078,-64.6563651727769,-60.54520999224913,-65.62583115452205,-60.550733329376875,-59.17086964994608,-65.85360833936664,-60.966433991145266,-60.79883232463344,-63.368459955842354,-64.32233228018352,-58.5380971526207,-60.36591899411569,-61.33312750681309,-61.36348220206234,-60.576629869664636,-62.670625037685284,-65.84355590552477,-60.42155684951492,-60.394983612727785,-64.82180979218931,-61.031252810206375,-64.73220979218932,-64.79960979218929,-61.095888879706706,-61.75762888827317,-60.89738407849978,-60.460906831131744,-60.60863634052159,-60.68127260136513,-63.14006100430038,-60.548342263081075,-64.96805754168099,-60.684585209588185,-60.804233597215415,-60.91954365832532,-60.324937898047736,-60.58607529005607,-60.707268205863706,-65.81538871752257,-59.07336607544177,-64.43563228018354,-60.48049949886794,-60.847847161744745,-65.77051585156264,-60.80303878268886,-60.59606383285875,-65.86005590552479,-60.56880861842115,-60.51730768433476,-61.334481612650535,-61.08291719108,-60.33649062126403,-60.48340396733162,-65.79988871752256,-67.11510273830271,-66.18885590552476,-61.27012671712803,-60.353242593410236,-61.58576907378668,-60.845612308201126,-61.61805379896209,-60.5707578609989,-65.27414090676989,-61.61105994054636,-65.07232360780453,-61.015471556856106,-60.347778388138295,-60.73059095135939,-64.79820979218928,-60.38298845582527,-60.429564605277214,-61.5999463724514,-62.177100410367665,-60.330310559018365,-63.152861004300384,-60.58147107203153,-61.547850327041004,-65.12772210136644,-63.550767265584376,-64.23538453069189,-60.31989629348308,-60.33551894905409,-60.29700812143324,-60.40728370785177,-64.65060979218929,-64.74830979218929,-60.63197229958331,-65.96158871752256,-62.57880436112252,-61.323401217943236,-60.708328405281065,-62.56100436112249,-62.622021787070594,-61.28882660235345,-60.70097978201009
1997-12-29 12:00:00,-60.53751616311698,-60.33832023353183,-61.145954263260855,-60.543177999769824,-61.18211031405174,-60.3717680211389,-60.80064401000904,-61.31563516887096,-60.73750165746188,-60.75255713530834,-62.20316019310695,-60.85268266441975,-61.13512480226055,-65.89441494377897,-61.548771833054,-62.90445249654667,-64.2750565495258,-60.53543009030617,-65.28325092026608,-60.57131445848434,-59.15112161007714,-65.53506388834316,-61.17046243347596,-60.818534061245444,-62.97366612084824,-63.93765221280723,-58.35520403713076,-60.352306397182524,-61.31605210633228,-61.35584672904406,-60.85332815479692,-62.62497390991142,-65.55512310370803,-60.48763132711814,-60.38106004028975,-64.45364578835058,-61.01725867479726,-64.3640457883506,-64.42756755384295,-61.0794830348788,-61.70223106756729,-60.965287549097745,-60.518313888630615,-60.85474941107568,-60.66040575519723,-62.745267169306274,-60.79376898115147,-64.59989353784226,-60.66622253549685,-60.747066895414655,-60.941617396229454,-60.31031754891538,-60.56552204882785,-60.76223634698607,-65.4728084832666,-59.05851757747483,-64.05095221280726,-60.47292375866011,-60.81737733191928,-65.48208304974588,-60.788936775543654,-60.588508705949685,-65.57162310370803,-60.757243278257974,-60.56226189107228,-61.32012150786303,-61.100802439476695,-60.32095606223783,-60.464356557747564,-65.45730848326662,-66.87516782260285,-65.90341494377898,-61.25635050916205,-60.337268419980155,-61.568009270814564,-60.827933424909254,-61.59669997969366,-60.78362103261301,-64.9224929664687,-61.5943386496223,-64.72067566750334,-60.99076570950308,-60.33104631933115,-60.72578352648829,-64.43004578835055,-60.38383021114703,-60.42678613041454,-61.58521481208477,-62.1278054299456,-60.312724484511,-62.75806716930627,-60.56353241229128,-61.54790316437131,-64.77607416106527,-63.157152079891574,-63.85070446331561,-60.30668981572054,-60.316905327205774,-60.28384878166405,-60.38852672271732,-64.28244578835054,-64.38014578835056,-60.61156648572645,-65.61900848326661,-62.3607897473362,-61.31639024468562,-60.71089036746767,-62.34586149665698,-62.40705189310963,-61.27655901650513,-60.6983854828466
