,,,,,,,,,,,,,
Sample ID,Depth (mcd),Median Age (kyr),C. wuellerstorfi d18O (vs. PDB),C. wuellerstorfi d13C (vs. PDB),IRD/g sed,,C. wuellerstorfi d18O (vs. PDB) + 0.64‰,,LSR (median) cm/kyr,Dry Bulk Density (g/cm3),Bulk MAR (Median) g/cm2/kyr,,IRD Apparent MAR (grains/cm2/kyr)
MD02-2588-0.5,0.50,0.29,3.04,0.58,1.08,,3.68,,,0.86,,,
MD02-2588-1.5,1.50,0.88,3.63,0.25,0.87,,4.27,,1.70,0.86,1.47,,1.27
MD02-2588-2.5,2.50,1.47,2.93,0.67,0.00,,3.57,,1.70,0.86,1.47,,0.00
MD02-2588-3.5,3.50,2.06,,,0.00,,,,1.70,0.86,1.47,,0.00
MD02-2588-4.5,4.50,2.64,2.71,0.80,0.00,,3.35,,1.70,0.86,1.47,,0.00
MD02-2588-5.5,5.50,3.23,3.18,0.55,0.00,,3.82,,1.70,0.86,1.47,,0.00
MD02-2588-6.5,6.50,3.58,2.81,0.67,0.00,,3.45,,2.85,0.86,2.46,,0.00
MD02-2588-7.5,7.50,3.95,2.96,0.72,0.00,,3.60,,2.75,0.86,2.37,,0.00
MD02-2588-8.5,8.50,4.32,2.74,0.85,0.00,,3.38,,2.70,0.86,2.33,,0.00
MD02-2588-9.5,9.50,4.68,2.75,0.74,0.00,,3.39,,2.76,0.86,2.38,,0.00
MD02-2588-10.5,10.50,5.04,2.72,0.73,0.00,,3.36,,2.78,0.86,2.40,,0.00
MD02-2588-11.5,11.50,5.42,3.00,0.73,0.00,,3.64,,2.66,0.86,2.29,,0.00
MD02-2588-12.5,12.50,5.81,2.85,0.82,0.00,,3.49,,2.54,0.86,2.19,,0.00
MD02-2588-13.5,13.50,6.21,2.80,0.52,0.00,,3.44,,2.47,0.86,2.13,,0.00
MD02-2588-14.5,14.50,6.63,3.04,0.54,0.00,,3.68,,2.44,0.86,2.10,,0.00
MD02-2588-15.5,15.50,7.03,3.02,0.70,0.00,,3.66,,2.48,0.86,2.14,,0.00
MD02-2588-16.5,16.50,7.38,2.98,0.72,0.00,,3.62,,2.82,0.86,2.44,,0.00
MD02-2588-17.5,17.50,7.66,3.01,0.70,0.00,,3.65,,3.61,0.86,3.12,,0.00
