"Sample ID","Original Depth (m)","AP_comp Depth (cm)","Age (kyr)","Sedimentation Rate (cm/kyr)","Dry Bulk Density (g/cm3)","C. wuellerstorfi d18O (‰ vs. PDB)","C. wuellerstorfi d18O (‰ vs. PDB) + 0.64‰","C. wuellerstorfi d13C (‰ vs. PDB)","IRD Concentration (grains/g)","IRD Apparent MAR (grains/cm2/kyr)"
"MD02-2588-0.5",0.005,0.5,0.29,,0.7123,3.04,3.68,0.58,1.08,0
"MD02-2588-1.5",0.015,1.5,0.88,1.703,0.7124,3.63,4.27,0.25,0.87,1.05542794257353
"MD02-2588-2.5",0.025,2.5,1.47,1.703,0.7126,2.93,3.57,0.67,0,0
"MD02-2588-3.5",0.035,3.5,2.06,1.703,0.7128,,,,0,0
"MD02-2588-4.5",0.045,4.5,2.64,1.703,0.7129,2.71,3.35,0.8,0,0
"MD02-2588-5.5",0.055,5.5,3.23,1.703,0.7131,3.18,3.82,0.55,0,0
"MD02-2588-6.5",0.065,6.5,3.58,2.849,0.7132,2.81,3.45,0.67,0,0
"MD02-2588-7.5",0.075,7.5,3.95,2.747,0.7134,2.96,3.6,0.72,0,0
"MD02-2588-8.5",0.085,8.5,4.32,2.695,0.7136,2.74,3.38,0.85,0,0
"MD02-2588-9.5",0.095,9.5,4.68,2.759,0.7137,2.75,3.39,0.74,0,0
"MD02-2588-10.5",0.105,10.5,5.04,2.778,0.7139,2.72,3.36,0.73,0,0
"MD02-2588-11.5",0.115,11.5,5.42,2.656,0.714,3,3.64,0.73,0,0
"MD02-2588-12.5",0.125,12.5,5.81,2.538,0.7142,2.85,3.49,0.82,0,0
"MD02-2588-13.5",0.135,13.5,6.21,2.466,0.7144,2.8,3.44,0.52,0,0
"MD02-2588-14.5",0.145,14.5,6.63,2.436,0.7145,3.04,3.68,0.54,0,0
"MD02-2588-15.5",0.155,15.5,7.03,2.481,0.7147,3.02,3.66,0.7,0,0
"MD02-2588-16.5",0.165,16.5,7.38,2.821,0.7148,2.98,3.62,0.72,0,0
"MD02-2588-17.5",0.175,17.5,7.66,3.61,0.715,3.01,3.65,0.7,0,0
"MD02-2588-18.5",0.185,18.5,7.9,4.09,0.7152,3.07,3.71,0.54,,
"MD02-2588-19.5",0.195,19.5,8.15,4.032,0.7153,3,3.64,0.55,,
"MD02-2588-20.5",0.205,20.5,8.4,4.057,0.7155,2.75,3.39,0.62,,
"MD02-2588-21.5",0.215,21.5,8.64,4.082,0.7156,3.18,3.82,0.53,,
"MD02-2588-22.5",0.225,22.5,8.92,3.571,0.7158,3.14,3.78,0.38,,
"MD02-2588-23.5",0.235,23.5,9.27,2.865,0.716,3.15,3.79,0.45,,
"MD02-2588-24.5",0.245,24.5,9.66,2.584,0.7161,3.24,3.88,0.58,,
"MD02-2588-25.5",0.255,25.5,10.05,2.545,0.7163,3.25,3.89,0.41,0,0
"MD02-2588-26.5",0.265,26.5,10.45,2.528,0.7164,3.37,4.01,0.42,,
"MD02-2588-27.5",0.275,27.5,10.84,2.535,0.7166,3.32,3.96,0.49,,
"MD02-2588-28.5",0.285,28.5,11.23,2.551,0.7168,,,,,
"MD02-2588-29.5",0.295,29.5,11.62,2.564,0.7169,3.55,4.19,0.45,,
"MD02-2588-30.5",0.305,30.5,12.01,2.571,0.7171,3.57,4.21,0.27,0,0
"MD02-2588-31.5",0.315,31.5,12.4,2.608,0.7172,3.66,4.3,0.26,,
"MD02-2588-32.5",0.325,32.5,12.76,2.766,0.7174,3.37,4.01,0.47,0,0
"MD02-2588-33.5",0.335,33.5,13.09,2.976,0.7176,3.59,4.23,0.46,0.25,0.533898684895833
"MD02-2588-34.5",0.345,34.5,13.42,3.044,0.7177,3.58,4.22,0.52,0.49,1.07056988835616
"MD02-2588-35.5",0.355,35.5,13.75,3.021,0.7179,3.71,4.35,0.37,0,0
"MD02-2588-36.5",0.365,36.5,14.09,2.972,0.718,3.69,4.33,0.38,0,0
"MD02-2588-37.5",0.375,37.5,14.43,2.907,0.7182,3.73,4.37,0.37,,
"MD02-2588-38.5",0.385,38.5,14.78,2.899,0.7184,3.77,4.41,0.34,0,0
"MD02-2588-39.5",0.395,39.5,15.12,2.941,0.7185,4.02,4.66,0.17,0,0
"MD02-2588-40.5",0.405,40.5,15.41,3.413,0.7187,3.84,4.48,0.19,0.6,1.47168182764506
"MD02-2588-41.5",0.415,41.5,15.61,4.963,0.7188,4.06,4.7,-0.01,0.46,1.6410011064516
"MD02-2588-42.5",0.425,42.5,15.76,6.826,0.719,3.71,4.35,0.33,0,0
"MD02-2588-43.5",0.435,43.5,15.9,7.168,0.7191,4.25,4.89,0.25,0.36,1.85586253548387
"MD02-2588-44.5",0.445,44.5,16.05,6.757,0.7193,4.03,4.67,0.25,0,0
"MD02-2588-45.5",0.455,45.5,16.26,4.808,0.7195,4.2,4.84,-0.03,1.55,5.36138585757206
"MD02-2588-46.5",0.465,46.5,16.56,3.247,0.7196,4.37,5.01,-0.02,1.84,4.29903832402598
"MD02-2588-47.5",0.475,47.5,16.92,2.793,0.7198,4.44,5.08,0.13,1.46,2.93541487779329
"MD02-2588-48.5",0.485,48.5,17.28,2.774,0.7199,4.42,5.06,0.11,1.62,3.23522732496534
"MD02-2588-49.5",0.495,49.5,17.64,2.774,0.7201,4.55,5.19,-0.07,1.76,3.51558653758667
"MD02-2588-50.5",0.505,50.5,18,2.782,0.7203,4.46,5.1,-0.15,0.96,1.92334863087621
"MD02-2588-51.5",0.515,51.5,18.36,2.789,0.7204,4.53,5.17,0.04,1.34,2.69275310892609
"MD02-2588-52.5",0.525,52.5,18.72,2.797,0.7206,4.51,5.15,0.09,0.92,1.85433350349651
"MD02-2588-53.5",0.535,53.5,19.08,2.801,0.7207,4.52,5.16,0.13,0.72,1.45356833445377
"MD02-2588-54.5",0.545,54.5,19.43,2.805,0.7209,4.55,5.19,-0.04,1.68,3.39715977391307
"MD02-2588-55.5",0.555,55.5,19.79,2.821,0.721,4.46,5.1,0.19,4.67,9.49864948370941
"MD02-2588-56.5",0.565,56.5,20.14,2.849,0.7212,4.4,5.04,0.03,7.53,15.4719131502137
"MD02-2588-57.5",0.575,57.5,20.49,2.878,0.7214,4.47,5.11,0.04,3.68,7.63913263309352
"MD02-2588-58.5",0.585,58.5,20.83,2.89,0.7215,4.48,5.12,0.05,4.99,10.4056763126445
"MD02-2588-59.5",0.595,59.5,21.18,2.89,0.7217,4.5,5.14,0.01,4.07,8.48904711119942
"MD02-2588-60.5",0.605,60.5,21.52,2.89,0.7218,4.45,5.09,-0.04,1.84,3.83863720867052
"MD02-2588-61.5",0.615,61.5,21.87,2.886,0.722,4.52,5.16,0.1,1.82,3.79226037272729
"MD02-2588-62.5",0.625,62.5,22.22,2.878,0.7221,4.49,5.13,-0.11,2.56,5.31997697841726
"MD02-2588-63.5",0.635,63.5,22.57,2.865,0.7223,4.44,5.08,-0.1,2.85,5.8984590762894
"MD02-2588-64.5",0.645,64.5,22.92,2.841,0.7225,4.45,5.09,0.04,1.61,3.3044321162642
"MD02-2588-65.5",0.655,65.5,23.29,2.656,0.7226,4.37,5.01,-0.03,2.3,4.41439209229748
"MD02-2588-66.5",0.665,66.5,23.71,2.384,0.7228,4.33,4.97,0.1,3.39,5.84077066072707
"MD02-2588-67.5",0.675,67.5,24.16,2.257,0.7229,4.38,5.02,0.12,5.01,8.17580896303609
"MD02-2588-68.5",0.685,68.5,24.6,2.237,0.7231,4.42,5.06,0.06,2.81,4.54558507455258
"MD02-2588-69.5",0.695,69.5,25.05,2.232,0.7232,4.33,4.97,0.1,4.05,6.53826026702008
"MD02-2588-70.5",0.705,70.5,25.5,2.217,0.7234,4.29,4.93,0.1,1.77,2.83906976657428
"MD02-2588-71.5",0.715,71.5,25.96,2.183,0.7236,4.41,5.05,0.06,3.66,5.78214577500002
"MD02-2588-72.5",0.725,72.5,26.42,2.169,0.7237,4.11,4.75,0.09,8.7,13.6579585005422
"MD02-2588-73.5",0.735,73.5,26.88,2.179,0.7239,4.3,4.94,0.12,4.8,7.56989733333334
"MD02-2588-74.5",0.745,74.5,27.33,2.21,0.724,4.39,5.03,0.08,6.94,11.1044293214365
"MD02-2588-75.5",0.755,75.5,27.71,2.653,0.7242,4.39,5.03,0.1,3.95,7.58760940417774
"MD02-2588-76.5",0.765,76.5,27.94,4.292,0.7243,4.26,4.9,0.08,3.34,10.3832562856223
"MD02-2588-77.5",0.775,77.5,28.1,6.557,0.7245,4.33,4.97,0.08,2.66,12.6371334508197
"MD02-2588-78.5",0.785,78.5,28.24,7.018,0.7247,4.38,5.02,0.08,2.19,11.1367821415791
"MD02-2588-79.5",0.795,79.5,28.37,7.353,0.7248,4.37,5.01,0.15,1.22,6.50197109448516
"MD02-2588-80.5",0.805,80.5,28.51,7.605,0.725,4.28,4.92,0.1,3.4,18.7443704524716
"MD02-2588-81.5",0.815,81.5,28.64,7.519,0.7251,4.31,4.95,-0.01,4.51,24.5887313426693
"MD02-2588-82.5",0.825,82.5,28.78,7.042,0.7253,4.23,4.87,0.06,2.58,13.1775918750001
"MD02-2588-83.5",0.835,83.5,28.93,6.601,0.7254,4.31,4.95,0.11,2.02,9.67245776666653
"MD02-2588-84.5",0.845,84.5,29.09,6.25,0.7256,4.29,4.93,0.16,0.66,2.9930599565625
"MD02-2588-85.5",0.855,85.5,29.3,4.773,0.7257,4.3,4.94,0.15,3.73,12.9213999905729
"MD02-2588-86.5",0.865,86.5,29.6,3.413,0.7259,4.28,4.92,0.15,1.87,4.63289010503414
"MD02-2588-87.5",0.875,87.5,29.93,3.021,0.7261,4.38,5.02,0.02,2.83,6.20768462046829
"MD02-2588-88.5",0.885,88.5,30.25,3.058,0.7262,4.28,4.92,0.15,3.84,8.5280121247706
"MD02-2588-89.5",0.895,89.5,30.57,3.12,0.7264,4.32,4.96,0.23,3.03,6.86707848135727
"MD02-2588-90.5",0.905,90.5,30.88,3.226,0.7265,4.27,4.91,0.16,1.64,3.84355051516126
"MD02-2588-91.5",0.915,91.5,31.18,3.339,0.7267,4.2,4.84,0,1.92,4.65851832520871
"MD02-2588-92.5",0.925,92.5,31.48,3.378,0.7268,4.22,4.86,0.15,1.74,4.27261592483109
"MD02-2588-93.5",0.935,93.5,31.78,3.356,0.727,4.17,4.81,0.11,1.91,4.659574678104
"MD02-2588-94.5",0.945,94.5,32.09,3.247,0.7271,4.24,4.88,0.12,1.28,3.02190791688312
"MD02-2588-95.5",0.955,95.5,32.51,2.375,0.7273,4.25,4.89,0.26,3.12,5.38998077102139
"MD02-2588-96.5",0.965,96.5,33.14,1.567,0.7275,4.34,4.98,0.16,3.08,3.51186201896553
"MD02-2588-97.5",0.975,97.5,33.91,1.312,0.7276,4.11,4.75,0.3,4.26,4.06775387303149
"MD02-2588-98.5",0.985,98.5,34.68,1.288,0.7278,4.16,4.8,0.28,4.76,4.46126590946556
"MD02-2588-99.5",0.995,99.5,35.46,1.289,0.7279,4.04,4.68,0.34,2.59,2.42953512316365
"MD02-2588-100.5",1.005,100.5,36.23,1.305,0.7281,4.11,4.75,0.39,3.18,3.02059546790607
"MD02-2588-101.5",1.015,101.5,36.99,1.313,0.7282,4.03,4.67,0.28,4.01,3.83481556707158
"MD02-2588-102.5",1.025,102.5,37.75,1.304,0.7284,4.06,4.7,0.33,4.58,4.34943140971315
